ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12262588,JE104819,12/31/20 23:59,017XX N CICERO AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2533,025,37,25,06,1144138,1910955,2020,1/8/21 15:39,41.9116839,-87.74591752,POINT (-87.745917518 41.9116839)
12258658,JE100080,12/31/20 23:51,013XX S HOMAN AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,FALSE,FALSE,1021,010,24,29,04B,1153918,1893431,2020,1/7/21 15:41,41.86340688,-87.71045587,POINT (-87.710455868 41.863406877)
12258583,JE100003,12/31/20 23:45,080XX S ELLIS AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,FALSE,FALSE,0631,006,8,44,04B,,,2020,1/19/21 15:46,,,
12274737,JE118886,12/31/20 23:45,001XX E WACKER DR,0810,THEFT,OVER $500,HOTEL / MOTEL,FALSE,FALSE,0114,001,42,32,06,1177683,1902638,2020,1/23/21 15:39,41.88816513,-87.62293721,POINT (-87.622937212 41.888165132)
12263896,JE105660,12/31/20 23:45,049XX S FORRESTVILLE AVE,0810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,0223,002,4,38,06,1180760,1872402,2020,1/10/21 15:39,41.80512515,-87.61256948,POINT (-87.612569477 41.805125154)
12259515,JE101051,12/31/20 23:45,048XX W PATTERSON AVE,0810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1634,016,30,15,06,1143450,1923829,2020,1/7/21 15:41,41.94702433,-87.74812224,POINT (-87.748122241 41.947024331)
12258623,JD475015,12/31/20 23:45,056XX S WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,0225,002,20,40,08B,1177678,1867609,2020,1/7/21 15:41,41.79204308,-87.62401792,POINT (-87.624017919 41.792043078)
12259610,JE101232,12/31/20 23:45,002XX E MARQUETTE RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,0322,003,6,69,14,1178930,1860641,2020,1/7/21 15:41,41.77289376,-87.61963915,POINT (-87.619639151 41.772893757)
12258511,JD474996,12/31/20 23:40,053XX W BELMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,TRUE,TRUE,1634,016,30,15,08B,1139972,1920752,2020,1/7/21 15:41,41.93864519,-87.76098209,POINT (-87.760982089 41.93864519)
12258524,JE100014,12/31/20 23:38,010XX N MONTICELLO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,TRUE,FALSE,1112,011,27,23,15,1151855,1906697,2020,1/7/21 15:41,41.89985102,-87.71767969,POINT (-87.717679685 41.899851016)
12258586,JE100019,12/31/20 23:37,022XX S SPAULDING AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1024,010,12,30,15,1154709,1888980,2020,1/7/21 15:41,41.85117705,-87.70767121,POINT (-87.707671214 41.851177046)
12258666,JE100099,12/31/20 23:36,054XX W CONGRESS PKWY,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,1522,015,29,25,14,1140253,1897151,2020,1/7/21 15:41,41.87387616,-87.76052855,POINT (-87.760528549 41.873876162)
12258550,JE100102,12/31/20 23:33,007XX N CENTRAL PARK AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,FALSE,FALSE,1112,011,27,23,15,1152253,1904599,2020,1/7/21 15:41,41.89408605,-87.71627324,POINT (-87.71627324 41.894086051)
12258568,JD475004,12/31/20 23:33,008XX N MONTICELLO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1112,011,27,23,08B,1151896,1905415,2020,1/7/21 15:41,41.89633228,-87.71756289,POINT (-87.717562888 41.896332275)
12258918,JE100530,12/31/20 23:30,010XX W 68TH ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,FALSE,FALSE,0724,007,6,68,07,1170698,1859730,2020,1/7/21 15:41,41.77057736,-87.64984197,POINT (-87.649841973 41.770577359)
12258625,JE100023,12/31/20 23:30,035XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,0212,002,4,36,14,1181307,1881665,2020,1/7/21 15:41,41.83053093,-87.61027746,POINT (-87.610277459 41.830530933)
12261309,JE103037,12/31/20 23:30,076XX S EGGLESTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,0621,006,17,69,14,1174620,1854179,2020,1/7/21 15:41,41.75525833,-87.63563055,POINT (-87.635630547 41.755258331)
12258527,JE100011,12/31/20 23:27,002XX E 59TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,0232,002,20,40,15,1178754,1865945,2020,1/7/21 15:41,41.78745247,-87.62012306,POINT (-87.620123055 41.787452473)
